Altium Designer Pick and Place Locations
D:\Advanced Training\Ibrahim Ismail\ESP32 With USBC_Project\Project Outputs for ESP32 With USBC_Project\Pick Place\Pick Place for ESP32 PCB(Prototype).csv

========================================================================================================================
File Design Information:

Date:       17/09/24
Time:       00:40
Revision:   953e6534f5f910d10fd04d2d845bb9766cbeef1b
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R22","0R","TopLayer","RES_SMD_0402","1978.000","521.000","0","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"U2","FT231XQ-R","TopLayer","USB_TO_UART__FTDI","770.079","810.079","270","IC USB SERIAL FULL UART 20QFN"
"R20","0R","TopLayer","RES_SMD_0402","2078.748","137.000","180","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"U3","TPS62162DSGR","TopLayer","BUCK_TPS62162DSGR","812.126","270.472","0","Buck Switching Regulator IC Positive Fixed 3.3V 1 Output 1A 8-WFDFN Exposed Pad"
"U1","ESP32-S3-MINI-1-N8","TopLayer","ESP32-S3-MINI-1-N8","2450.039","496.961","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","SMD Tactile Switch","TopLayer","Tactile_Switch_SMD","1400.000","725.000","180","SMD Tactile Switches ROHS"
"SW1","SMD Tactile Switch","TopLayer","Tactile_Switch_SMD","1400.000","275.000","180","SMD Tactile Switches ROHS"
"R26","10K","TopLayer","RES_SMD_0402","1143.000","695.000","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10kO 0402 Chip Resistor - Surface Mount ROHS"
"R24","0R","TopLayer","RES_SMD_0402","1979.252","451.000","0","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R23","100k","TopLayer","RES_SMD_0402","905.000","325.748","90","RES SMD 100K OHM 1% 1/16W 0402"
"R21","10K","TopLayer","RES_SMD_0402","1068.000","695.000","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10kO 0402 Chip Resistor - Surface Mount ROHS"
"R19","0R","TopLayer","RES_SMD_0402","2178.626","139.374","180","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R18","27R","TopLayer","RES_SMD_0402","2004.000","765.000","0","27 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R17","27R","TopLayer","RES_SMD_0402","2003.000","825.000","0","27 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R16","1K","TopLayer","RES_SMD_0402","1837.000","800.000","270","RES 1K OHM 1% 1/16W 0402"
"R15","1K","TopLayer","RES_SMD_0402","1827.000","201.000","270","RES 1K OHM 1% 1/16W 0402"
"R14","10K","TopLayer","RES_SMD_0402","1658.000","201.000","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10kO 0402 Chip Resistor - Surface Mount ROHS"
"R13","5.1K","TopLayer","RES_SMD_0402","557.000","278.748","270","5.1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R12","5.1K","TopLayer","RES_SMD_0402","557.000","169.000","270","5.1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R11","5.1K","TopLayer","RES_SMD_0402","492.000","864.252","90","5.1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R10","5.1K","TopLayer","RES_SMD_0402","492.000","769.000","270","5.1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R9","10K","TopLayer","RES_SMD_0402","929.252","610.000","180","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10kO 0402 Chip Resistor - Surface Mount ROHS"
"R7","4K7","TopLayer","RES_SMD_0402","929.000","675.000","0","4.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R6","27R","TopLayer","RES_SMD_0402","595.252","806.000","0","27 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R5","0R","TopLayer","RES_SMD_0402","679.000","645.000","90","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R4","27R","TopLayer","RES_SMD_0402","597.000","743.000","0","27 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R1","0R","TopLayer","RES_SMD_0402","797.520","507.984","0","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"Q2","MMS8050-H-TP","TopLayer","SOT_TRANSISTOR","1104.598","520.630","180","Bipolar (BJT) Transistor NPN 25 V 500 mA 150MHz 300 mW Surface Mount SOT-23"
"Q1","MMS8050-H-TP","TopLayer","SOT_TRANSISTOR","1105.598","834.370","0","Bipolar (BJT) Transistor NPN 25 V 500 mA 150MHz 300 mW Surface Mount SOT-23"
"L1","2.2uH","TopLayer","Inductor_SMD_2.2uH","990.000","320.433","90","2.2 µH Shielded Multilayer Inductor 1 A 195mOhm Max 0805 (2012 Metric)"
"J6","X1311WV-02J-C40D24","TopLayer","HDR_1X2_1.27mm","1400.000","500.000","90","Gold 250V 3A Policy 1mm 2P 260? -40?~+105? 1.27mm Brass Black Single Row 1x2P 1.27mm Plugin,P=1.27mm Pin Headers ROHS"
"J5","X1311WV-03J-C40D24","TopLayer","HDR_1X3_1.27mm_-_duplicate","369.000","509.000","0","Gold 250V 3A Policy 1mm 3P 260? -40?~+105? 1.27mm Brass Black Single Row 1.27mm 1x3P Plugin,P=1.27mm Pin Headers ROHS"
"J4","TYPE-C-F10-1TDW","TopLayer","USB-C","179.035","210.079","270","16P Type-C SMD USB Connectors"
"J3","TYPE-C-F10-1TDW","TopLayer","USB-C","179.035","794.921","270","16P Type-C SMD USB Connectors"
"J2","X5511WV-24-C35D35-1000","BottomLayer","HDR_1X24_2.54MM","1545.000","45.000","90","Gold 250V 3A Policy 2.5mm 24P 260? -40?~+105? 2.54mm Brass Black Single Row 2.54mm 1x24P SMD,P=2.54mm Pin Headers ROHS"
"J1","X5511WV-24-C35D35-1000","BottomLayer","HDR_1X24_2.54MM","1540.000","970.000","90","Gold 250V 3A Policy 2.5mm 24P 260? -40?~+105? 2.54mm Brass Black Single Row 2.54mm 1x24P SMD,P=2.54mm Pin Headers ROHS"
"D8","RED","TopLayer","LED_0402_R","1758.000","800.000","270","LED RED 0402 SMD"
"D7","GREEN","TopLayer","LED_0402_G","1758.000","198.701","90","LED GREEN 0402 SMD"
"D6","LESD5D5.0CT1G","TopLayer","TVS-DIODE","409.000","292.000","90","9.4A 18.6V 5.6V Bidirectional 5V SOD-523 ESD and Surge Protection (TVS/ESD) ROHS"
