Altium Designer Pick and Place Locations
C:\Users\LapStore\Desktop\RND\ESP32_SOAD\Project Outputs for ESP32_SOAD\Pick Place\Pick Place for ESP32-PCB(PROTOTYPE).csv

========================================================================================================================
File Design Information:

Date:       16/09/24
Time:       19:27
Revision:   fc373274249a2c89d7c31bde5de3a7dc35182b32
Variant:    PROTOTYPE
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C12","100nF/50V","TopLayer","CL05A106MP8NUB8","474.315","873.000","180","Ceramic Capacitor, Multilayer, Ceramic, 10V, 10% +Tol, 10% -Tol, X5R, 15% TC, 1uF, Surface Mount, 0603"
"C4","100nF/50V","TopLayer","CL05A106MP8NUB8","473.000","296.315","90","Ceramic Capacitor, Multilayer, Ceramic, 10V, 10% +Tol, 10% -Tol, X5R, 15% TC, 1uF, Surface Mount, 0603"
"J4","DS1021-1x24SF11-B","BottomLayer","DS1021-1X24SF11","1600.000","950.000","180","DS1021-1x24SF11-B"
"J3","DS1021-1x24SF11-B","BottomLayer","DS1021-1X24SF11","1600.000","50.000","180","DS1021-1x24SF11-B"
"U3","FT231XQ-R","TopLayer","FT231XQ-R","757.016","745.016","0","Microprocessor Circuit, CMOS"
"U2","LMR50410Y3FQDBVRQ1","TopLayer","LMR50410Y3FQDBVRQ1","876.673","252.401","180","Switching Regulator, Current-mode, 1A, 2100kHz Switching Freq-Max, PDSO6"
"U1","ESP32-S3-MINI-1U-N8","TopLayer","ESP32-S3-MINI-1U-N8_1","2500.000","500.000","270",""
"SW2","PTS645SM43SMTR92LFS","TopLayer","PTS645SM43SMTR92LFS","1491.732","736.417","180","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 1.57N, 4 PCB Hole Cnt, Solder Terminal, Surface Mount-straight"
"SW1","PTS645SM43SMTR92LFS","TopLayer","PTS645SM43SMTR92LFS","1491.732","263.583","180","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 1.57N, 4 PCB Hole Cnt, Solder Terminal, Surface Mount-straight"
"R28","22.1K","TopLayer","RC0402JR","990.000","374.685","270","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 22100ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R27","51K","TopLayer","RC0402JR","930.000","374.685","90","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 51000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R26","1K","TopLayer","0603WAF1001T5E","2036.504","757.803","0",""
"R25","0 OHM","TopLayer","RC0402JR","2027.315","524.000","180","Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R23","0 OHM","TopLayer","RC0402JR","2027.315","445.000","180","Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R21","5.1K","TopLayer","AC0402FR-075K1L","635.315","325.000","180","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 5100ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
