Altium Designer Pick and Place Locations
C:\Users\Yaseen PC\Desktop\Altium projects\ESP32 with USBC\Project Outputs for Yasmeen_ESP32 with USBC\Pick Place\Pick Place for ESP32 with USBC(Prototype).csv

========================================================================================================================
File Design Information:

Date:       16/09/24
Time:       23:09
Revision:   a736515f12e847884584afd637bb4efd451d7880
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C3","100nF, 50V","TopLayer","CAPACITOR","725.764","600.000","180","50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","4u7, 16V","TopLayer","CAPACITOR","726.000","544.764","180","16V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"U5","ESP32-S3-MINI-1-N8","TopLayer","ESP32-S3-MINI-1-N8","2395.030","500.000","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"U4","SRV05-4","TopLayer","SRV05-4","365.000","220.000","90","15V 60W 9V 5V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"
"U3","SRV05-4","TopLayer","SRV05-4","365.000","800.000","90","15V 60W 9V 5V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"
"U2","ADP2301AUJZ-R7","TopLayer","BUCK","780.000","290.000","180","Step-down type Adjustable 800mV~17V 1.2A 3V~20V TSOT-6 DC-DC Converters ROHS"
"U1","FTDI FT232RNQ-REEL","TopLayer","FTDI_FT232RNQ-REEL","710.000","769.803","270","USB to UART QFN-32(5x5) USB Converters ROHS"
"SW2","Tactile Switch","TopLayer","TACTILE_SWITCH","1400.000","750.000","180","5.2mm 1.5mm Round Button 20mA Standing paste 5.2mm SPST 160gf 15V SMD,5.2x5.2mm Tactile Switches ROHS"
"SW1","Tactile Switch","TopLayer","TACTILE_SWITCH","1400.000","250.000","180","5.2mm 1.5mm Round Button 20mA Standing paste 5.2mm SPST 160gf 15V SMD,5.2x5.2mm Tactile Switches ROHS"
"R30","10K2","TopLayer","RC0402","987.000","447.236","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10.2kO 0402 Chip Resistor - Surface Mount ROHS"
"R29","10K2","TopLayer","RC0402","745.236","385.000","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10.2kO 0402 Chip Resistor - Surface Mount ROHS"
"R28","31K6","TopLayer","AC0402","927.000","447.236","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 31.6kO 0402 Chip Resistor - Surface Mount ROHS"
"R27","56K","TopLayer","RC0402","665.000","400.000","180","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 56kO 0402 Chip Resistor - Surface Mount ROHS"
"R24","0R","TopLayer","RC0402","1967.472","452.000","0","62.5mW Thick Film Resistors 50V ±5% 0O 0402 Chip Resistor - Surface Mount ROHS"
"R23","0R","TopLayer","RC0402","1967.764","513.000","0","62.5mW Thick Film Resistors 50V ±5% 0O 0402 Chip Resistor - Surface Mount ROHS"
"R22","10K","TopLayer","AC0402","1035.000","850.000","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10kO 0402 Chip Resistor - Surface Mount ROHS"
"R21","10K","TopLayer","AC0402","1035.000","640.000","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10kO 0402 Chip Resistor - Surface Mount ROHS"
"R20","0R","TopLayer","RC0402","2114.764","150.000","180","62.5mW Thick Film Resistors 50V ±5% 0O 0402 Chip Resistor - Surface Mount ROHS"
"R19","27R","TopLayer","RC0402","2011.472","790.000","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 27O 0402 Chip Resistor - Surface Mount ROHS"
"R18","0R","TopLayer","RC0402","2039.764","150.000","180","62.5mW Thick Film Resistors 50V ±5% 0O 0402 Chip Resistor - Surface Mount ROHS"
"R17","27R","TopLayer","RC0402","2011.236","840.000","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 27O 0402 Chip Resistor - Surface Mount ROHS"
"R16","10K","TopLayer","AC0402","1620.000","295.000","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10kO 0402 Chip Resistor - Surface Mount ROHS"
"R15","1K","TopLayer","RC0402","1770.000","795.000","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 1kO 0402 Chip Resistor - Surface Mount ROHS"
"R14","1K","TopLayer","RC0402","1770.000","200.000","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 1kO 0402 Chip Resistor - Surface Mount ROHS"
"R13","5K1","TopLayer","RC0402","460.000","245.000","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R12","5K1","TopLayer","RC0402","460.000","175.000","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R11","10K","TopLayer","AC0402","850.000","595.000","180","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10kO 0402 Chip Resistor - Surface Mount ROHS"
"R10","5K1","TopLayer","RC0402","460.000","855.000","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R9","5K1","TopLayer","RC0402","460.000","780.000","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R8","0R","TopLayer","RC0402","581.000","593.000","90","62.5mW Thick Film Resistors 50V ±5% 0O 0402 Chip Resistor - Surface Mount ROHS"
"R7","4K7","TopLayer","RC0402","850.000","645.000","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 4.7kO 0402 Chip Resistor - Surface Mount ROHS"
"R5","27R","TopLayer","RC0402","550.236","805.000","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 27O 0402 Chip Resistor - Surface Mount ROHS"
"R4","27R","TopLayer","RC0402","550.236","755.000","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 27O 0402 Chip Resistor - Surface Mount ROHS"
"R1","0R","TopLayer","RC0402","696.709","490.000","0","62.5mW Thick Film Resistors 50V ±5% 0O 0402 Chip Resistor - Surface Mount ROHS"
"Q2","SS8050-G","TopLayer","SS8050-G","1133.000","815.000","270","25V 300mW 120@100mA,1V 1.5A NPN SOT-23 Bipolar (BJT) ROHS"
"Q1","SS8050-G","TopLayer","SS8050-G","1133.000","670.000","270","25V 300mW 120@100mA,1V 1.5A NPN SOT-23 Bipolar (BJT) ROHS"
"L1","4.7uH","TopLayer","INDUCTOR","1086.000","281.000","0","2A 4.7uH ±30% 3A SMD,5x5mm Inductors (SMD) ROHS"
